id,description,issue_title,category,feedback
1,user cant access SIMS.,abc,matching,
2,Not able to login into the SIMS,gddg,matching,
3,issue while logging into the SIMS.,dgsg,matching,
4,dims login not working.,hshs,matching,
5,The payment for the invoice is pending.,hdhs,not_matching,
6,Our network was down last night.,gdgd,not_matching,
7,infra issue, dgdgd,not_matching,
8, mission_impossible movie,gddg,not_matching,
9, doctor is on leave, gdgd,not_matching,
10, minister visinting  newyork,,not_matching,
11, not able to upload document into SIMS, gdgs,matching,
12, SIMS portal is down,gdgd,matching,not_matching,
